log_PRICE,BEDS_capped,BATH_capped,log_PROPERTYSQFT,LATITUDE,LONGITUDE,distance_to_center_km,price_per_sqft,beds_per_bath,sqft_per_bed,broker_freq,TYPE_encoded,PRICE,neighborhood_encoded
12.660331092405906,2,2.0,7.244941546337007,40.761255,-73.9744834,6.41612943931143,225.0,0.6666666666666666,466.6666666666667,40,2,315000,0
16.929025911619092,7,6.0,9.113388845899733,40.7663935,-73.9809909,6.56470772259246,2479.3388429752067,1.0,1134.375,54,2,195000000,0
12.468440756144114,4,2.0,7.60887062919126,40.5418051,-74.1961086,28.382275796237266,129.03225806451613,1.3333333333333333,403.0,40,7,260000,4
11.813037464800539,3,1.0,6.129050210060545,40.7613979,-73.9746128,6.421627933619555,294.7598253275109,1.5,114.5,456,2,69000,0
16.929025911619092,7,2.3738608579684373,9.113388845899733,40.7672235,-73.9698561,7.251876325986534,2479.3388429752067,2.0747743593122077,1134.375,62,12,55000000,0
13.444448325847754,5,2.0,8.29529885950246,40.6743632,-73.9587248,6.763109060547526,172.32767232767233,1.6666666666666667,667.3333333333334,40,7,690000,1
13.709595444100845,2,2.0,7.6894662343551055,40.809448,-73.946777,12.581838803537488,411.8197794491777,0.6666666666666666,728.0692873333334,110,2,899500,3
16.636889503897294,8,6.0,9.113388845899733,40.5950017,-74.1064235,17.182182904619083,1851.2396694214876,1.1428571428571428,1008.3333333333334,5,7,16800000,4
12.487488878546145,1,1.0,6.621405651764134,40.8215857,-73.8740892,18.978983613966232,353.3333333333333,0.5,375.0,6,0,265000,3
12.994532278619134,2,1.0,6.88653164253051,40.6157378,-73.9696944,11.502924837315835,449.89775051124747,1.0,326.0,5,0,440000,4
12.834683971615659,2,1.0,6.7464121285733745,40.8248699,-73.9229829,15.481018974328865,441.1764705882353,1.0,283.3333333333333,1,0,375000,3
13.442998001373553,3,2.3738608579684373,7.0587581525186645,40.6249962,-74.1553058,19.226318045136367,592.9432013769364,0.8891890111338033,290.5,11,12,689000,4
12.464587201678082,3,1.0,7.6894662343551055,40.7531191,-73.8818757,14.486444819602417,118.57845789587218,1.5,546.0519655,456,0,259000,0
12.971542813248437,2,2.0,7.6894662343551055,40.7438639,-73.8745722,14.99043903906163,196.8677100201739,0.6666666666666666,728.0692873333334,13,0,430000,0
13.704580114574805,3,1.0,7.6894662343551055,40.7382981,-74.0058899,2.830315485041212,409.75953597222235,1.5,546.0519655,44,0,895000,0
13.215855541983634,2,2.0,6.90875477931522,40.5406209,-74.1671632,26.177937344177224,549.0,0.6666666666666666,333.3333333333333,3,2,549000,4
13.790193775620484,3,2.0,7.45876269238096,40.7607676,-73.9056672,12.344258749653903,562.2837370242214,1.0,433.5,6,12,975000,0
12.201065128819632,3,1.0,6.129050210060545,40.6181029,-74.0369047,11.056982526937299,434.49781659388645,1.5,114.5,2,0,199000,4
12.765691290604371,1,1.0,6.55250788703459,40.9073699,-73.9065578,24.25450256756267,500.0,0.5,350.0,2,0,350000,2
13.303018546545275,2,2.0,6.882437470997847,40.7324713,-73.8670804,15.573903370959998,614.9897330595483,0.6666666666666666,324.6666666666667,37,2,599000,0
13.369223455335854,3,2.0,7.13966033596492,40.6207403,-74.1114362,15.536741267011035,507.9357142857143,1.0,315.0,2,7,639999,4
14.077875591662238,2,2.0,7.126890808898808,40.7202429,-73.8430513,18.106163894383286,1045.016077170418,0.6666666666666666,414.6666666666667,3,2,1300000,0
13.910821646859095,6,3.0,7.950854857719988,40.8343936,-73.8221101,24.470528125421623,387.73352132534365,1.5,405.2857142857143,4,10,1100000,3
12.765405536311112,1,1.0,6.480044561926653,40.5902064,-74.0958034,16.868290371097213,537.4807987711214,0.5,325.5,3,2,349900,4
13.527829818844937,2,2.0,7.193685818395112,40.5039785,-74.2396555,34.78416823089383,563.9097744360902,0.6666666666666666,443.3333333333333,1,7,750000,4
14.340239678615058,6,4.0,7.696667081526462,40.710749,-73.809486,21.814242006950533,768.1818181818181,1.2,314.2857142857143,7,10,1690000,1
12.691583538230217,1,1.0,7.6894662343551055,40.7505078,-73.8851355,14.053715891953921,148.79536222455002,0.5,1092.103931,6,0,325000,0
14.626441218624949,8,2.3738608579684373,8.643120748014027,40.602654,-73.9869399,12.407907855791567,396.8253968253968,2.371170696356809,630.0,13,10,2250000,4
12.345838935721968,1,1.0,7.6894662343551055,40.7557689,-73.8734231,15.46965739053368,105.30133326660463,0.5,1092.103931,1,0,230000,0
14.077789434170906,8,6.0,8.057377488557991,40.6155667,-74.0869554,14.044062601746656,411.8783269961977,1.1428571428571428,350.6666666666667,11,10,1299888,4
13.73755009757506,5,2.0,7.919719760924575,40.8242389,-73.8173809,24.317815886121405,336.3636363636364,1.6666666666666667,458.3333333333333,35,10,925000,3
12.703816069256568,1,2.0,6.678342114654332,40.6210398,-74.1504313,18.993762242669614,414.35768261964733,0.3333333333333333,397.0,3,2,329000,4
14.077875591662238,8,6.0,8.525359754082631,40.6274381,-74.1581613,19.366149097003817,257.93650793650795,1.1428571428571428,560.0,2,10,1300000,4
13.650637094018627,5,4.0,7.640603826393634,40.6615475,-73.898309,13.238428966201738,407.6923076923077,1.0,346.6666666666667,79,10,848000,1
12.53897064502647,1,1.0,6.621405651764134,40.6179165,-73.9546305,11.976536905421165,372.0,0.5,375.0,2,0,279000,4
13.176853456625999,1,1.0,6.401917196727186,40.6275896,-74.0016198,9.470842651806995,877.0764119601329,0.5,301.0,6,2,528000,4
