,train_rmse,test_rmse,test_mae,test_r2
LinearRegression,0.4027546033864654,0.46577094293917254,0.30400743222869503,0.7815266929831358
Ridge,0.4027763106284301,0.4653950937944271,0.3045203039941326,0.7818791403683031
Lasso,0.4436443556910129,0.48134062574972475,0.34480916278474594,0.766676417648051
RandomForest,0.02104002849999899,0.04385495024032939,0.0225694777134051,0.9980631729384054
XGBoost,0.014332590698806427,0.05748478263947474,0.0365678310416863,0.9966721833795879
