feature,importance
price_per_sqft,0.5954810831060876
log_PROPERTYSQFT,0.21283176845581783
BATH_capped,0.1643532776337808
distance_to_center_km,0.021284205738130835
sqft_per_bed,0.002260500226936173
LATITUDE,0.0014766465606725794
TYPE_encoded,0.0008285621710288269
LONGITUDE,0.0004722220617271539
broker_freq,0.0003782526896023987
BEDS_capped,0.00027412515768532217
neighborhood_encoded,0.0001961558451918774
beds_per_bath,0.00016320035333866232
